dim_col,dim_row,round,drone_speed,sec_Buf,sec_Dur,lam_Buf,lam_Dur,random,col,row,time,event_id,mssd_evnts
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,8,6,1531254255.85,2,3
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,9,6,1531254870.33,3,2
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,0,7,1531254311.52,3,6
0,7,1531254421.27,3,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,1,7,1531254491.41,3,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,2,7,1531254301.45,2,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,3,7,1531254296.92,2,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,4,7,1531254609.1,3,3
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,5,7,0,0,7,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,6,7,1531254703.48,6,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,7,7,1531254774.26,9,8
7,7,1531254277.69,4,8
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,8,7,1531254272.86,3,2
8,7,1531254800.26,4,2
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,9,7,0,0,6,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,0,8,1531254416.73,3,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,1,8,1531254323.8,4,4
1,8,1531254495.94,5,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,2,8,0,0,6,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,3,8,1531254588.45,5,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,4,8,0,0,6,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,5,8,1531254342.12,2,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,6,8,1531254346.64,4,7
6,8,1531254698.94,4,7
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,7,8,1531254351.17,4,6
7,8,1531254778.8,6,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,8,8,0,0,4,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,9,8,0,0,8,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,0,9,1531254410.5,3,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,1,9,0,0,5,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,2,9,1531254400.42,3,6
2,9,1531254505.81,5,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,3,9,1531254592.78,3,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,4,9,1531254391.35,1,1
4,9,1531254599.02,2,1
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,5,9,1531254386.52,3,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,6,9,0,0,5,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,7,9,1531254895.1,4,3
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,8,9,1531254789.68,9,10
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,9,9,0,0,9,
